,person_id,redirect_id,first_name,family_name,party,constituency
295,uk.org.publicwhip/person/10296,,Beverley June,Hughes,,
296,uk.org.publicwhip/person/10297,,Kevin,Hughes,,
297,uk.org.publicwhip/person/10298,,Simon,Hughes,Liberal Democrat,Bermondsey and Old Southwark
298,uk.org.publicwhip/person/10299,,Joan,Humble,,
299,uk.org.publicwhip/person/10300,,John,Hume,,
300,uk.org.publicwhip/person/10301,,Andrew,Hunter,,
301,uk.org.publicwhip/person/10302,,Alan,Hurst,,
302,uk.org.publicwhip/person/10303,,John Matthew Patrick,Hutton,,
303,uk.org.publicwhip/person/10304,,Brian,Iddon,,
304,uk.org.publicwhip/person/10305,,Eric,Illsley,,
305,uk.org.publicwhip/person/10306,,Adam,Ingram,,
306,uk.org.publicwhip/person/10307,,Michael,Jack,,
307,uk.org.publicwhip/person/10308,,Glenda,Jackson,Labour,Hampstead and Kilburn
308,uk.org.publicwhip/person/10309,,Helen,Jackson,,
309,uk.org.publicwhip/person/10310,,Robert,Jackson,,
310,uk.org.publicwhip/person/10311,,David,Jamieson,,
311,uk.org.publicwhip/person/10312,,Bernard,Jenkin,Conservative,Harwich and North Essex
312,uk.org.publicwhip/person/10313,,Brian,Jenkins,,
313,uk.org.publicwhip/person/10314,,Alan,Johnson,Labour,Kingston upon Hull West and Hessle
314,uk.org.publicwhip/person/10315,,Melanie,Johnson,,
315,uk.org.publicwhip/person/10316,,Geoffrey,Johnson Smith,,
316,uk.org.publicwhip/person/10317,,Barry,Jones,,
317,uk.org.publicwhip/person/10318,,Fiona,Jones,,
318,uk.org.publicwhip/person/10319,,Helen,Jones,Labour,Warrington North
319,uk.org.publicwhip/person/10320,,Ieuan Wyn,Jones,,
320,uk.org.publicwhip/person/10321,,Jenny,Jones,,
321,uk.org.publicwhip/person/10322,,Jon Owen,Jones,,
322,uk.org.publicwhip/person/10323,,Lynne,Jones,,
323,uk.org.publicwhip/person/10324,,Martyn,Jones,,
324,uk.org.publicwhip/person/10325,,Nigel,Jones,,
325,uk.org.publicwhip/person/10326,,Dame Tessa Jane Helen Douglas,Jowell,Labour,Dulwich and West Norwood
326,uk.org.publicwhip/person/10327,,Gerald,Kaufman,Labour,"Manchester, Gorton"
327,uk.org.publicwhip/person/10328,,Sally,Keeble,,
328,uk.org.publicwhip/person/10329,,Alan,Keen,,
329,uk.org.publicwhip/person/10330,,Ann,Keen,,
330,uk.org.publicwhip/person/10331,,Paul,Keetch,,
331,uk.org.publicwhip/person/10332,,Ruth,Kelly,,
332,uk.org.publicwhip/person/10333,,Fraser,Kemp,,
333,uk.org.publicwhip/person/10334,,Charles,Kennedy,Liberal Democrat,"Ross, Skye and Lochaber"
334,uk.org.publicwhip/person/10335,,Jane,Kennedy,,
335,uk.org.publicwhip/person/10336,,Robert,Key,,
336,uk.org.publicwhip/person/10337,,Piara S,Khabra,,
337,uk.org.publicwhip/person/10338,,David,Kidney,,
338,uk.org.publicwhip/person/10339,,Peter,Kilfoyle,,
339,uk.org.publicwhip/person/10340,,Andy,King,,
340,uk.org.publicwhip/person/10341,,Oona Tamsyn,King,,
341,uk.org.publicwhip/person/10342,,Tom,King,,
342,uk.org.publicwhip/person/10343,,Tess,Kingham,,
343,uk.org.publicwhip/person/10344,,Julie,Kirkbride,,
344,uk.org.publicwhip/person/10345,,Archy,Kirkwood,,
345,uk.org.publicwhip/person/10346,,Ashok,Kumar,,
346,uk.org.publicwhip/person/10347,,Stephen,Ladyman,,
347,uk.org.publicwhip/person/10348,,Eleanor,Laing,Conservative,Epping Forest
348,uk.org.publicwhip/person/10349,,Andrew,Lansley,Conservative,South Cambridgeshire
349,uk.org.publicwhip/person/10350,,Jackie,Lawrence,,
350,uk.org.publicwhip/person/10351,,Bob,Laxton,,
351,uk.org.publicwhip/person/10352,,Edward,Leigh,Conservative,Gainsborough
352,uk.org.publicwhip/person/10353,,David,Lepper,,
353,uk.org.publicwhip/person/10354,,Chris,Leslie,Labour,Nottingham East
354,uk.org.publicwhip/person/10355,,Oliver,Letwin,Conservative,West Dorset
355,uk.org.publicwhip/person/10356,,Tom,Levitt,,
356,uk.org.publicwhip/person/10357,,Ivan,Lewis,Labour,Bury South
357,uk.org.publicwhip/person/10358,,Julian,Lewis,Conservative,New Forest East
358,uk.org.publicwhip/person/10359,,Terry,Lewis,,
359,uk.org.publicwhip/person/10360,,Helen Lawrie,Liddell,,
360,uk.org.publicwhip/person/10361,,David,Lidington,Conservative,Aylesbury
361,uk.org.publicwhip/person/10362,,Peter,Lilley,Conservative,Hitchin and Harpenden
362,uk.org.publicwhip/person/10363,,Martin,Linton,,
363,uk.org.publicwhip/person/10364,,Ken,Livingstone,,
364,uk.org.publicwhip/person/10365,,Richard,Livsey,,
365,uk.org.publicwhip/person/10366,,Peter,Lloyd,,
366,uk.org.publicwhip/person/10367,,Tony,Lloyd,,
367,uk.org.publicwhip/person/10368,,Elfyn,Llwyd,Plaid Cymru,Dwyfor Meirionnydd
368,uk.org.publicwhip/person/10369,,David,Lock,,
369,uk.org.publicwhip/person/10370,,Michael Nicholson Lord,Lord,,
370,uk.org.publicwhip/person/10371,,Tim,Loughton,Conservative,East Worthing and Shoreham
371,uk.org.publicwhip/person/10372,,Andrew,Love,Labour,Edmonton
372,uk.org.publicwhip/person/10373,,Peter,Luff,Conservative,Mid Worcestershire
373,uk.org.publicwhip/person/10374,,Nicholas,Lyell,,
374,uk.org.publicwhip/person/10375,,John,McAllion,,
375,uk.org.publicwhip/person/10376,,Thomas McLaughlin,McAvoy,,
376,uk.org.publicwhip/person/10377,,Steve,McCabe,Labour,"Birmingham, Selly Oak"
377,uk.org.publicwhip/person/10378,,Chris,McCafferty,,
378,uk.org.publicwhip/person/10379,,Ian,McCartney,,
379,uk.org.publicwhip/person/10380,,Robert,McCartney,,
380,uk.org.publicwhip/person/10381,,Siobhain,McDonagh,Labour,Mitcham and Morden
381,uk.org.publicwhip/person/10382,,Calum,MacDonald,,
382,uk.org.publicwhip/person/10383,,John Martin,McDonnell,Labour,Hayes and Harlington
383,uk.org.publicwhip/person/10384,,John Francis,McFall,,
384,uk.org.publicwhip/person/10385,,Eddie,McGrady,,
385,uk.org.publicwhip/person/10386,,John,MacGregor,,
386,uk.org.publicwhip/person/10387,,Martin,McGuinness,,
387,uk.org.publicwhip/person/10388,,Anne,McGuire,Labour,Stirling
388,uk.org.publicwhip/person/10389,,Anne,McIntosh,Conservative,
389,uk.org.publicwhip/person/10390,,Shona,McIsaac,,
390,uk.org.publicwhip/person/10391,,Andrew,MacKay,,
391,uk.org.publicwhip/person/10392,,Rosemary,McKenna,,
392,uk.org.publicwhip/person/10393,,Andrew,MacKinlay,,
393,uk.org.publicwhip/person/10394,,David John Maclean,Maclean,,
394,uk.org.publicwhip/person/10395,,Henry,McLeish,,
395,uk.org.publicwhip/person/10396,,Bob,Maclennan,,
396,uk.org.publicwhip/person/10397,,Patrick,McLoughlin,Conservative,Derbyshire Dales
397,uk.org.publicwhip/person/10398,,Gordon,McMaster,,
398,uk.org.publicwhip/person/10399,,Kevin,McNamara,,
399,uk.org.publicwhip/person/10400,,Tony,McNulty,,
400,uk.org.publicwhip/person/10401,,Denis,MacShane,,
401,uk.org.publicwhip/person/10402,,Fiona,Mactaggart,Labour,Slough
402,uk.org.publicwhip/person/10403,,Tony,McWalter,,
403,uk.org.publicwhip/person/10404,,John,McWilliam,,
