,type,year,party,vague_score,decade,subj_score,emot_score
731,PMQs,1987-07-21,CON,0.17441000278641633,1980,0.09592163641312142,0.16143896719896653
732,PMQs,1987-07-23,CON,0.1762144501349127,1980,0.11041228431254567,0.16231474549400307
733,PMQs,1987-10-22,CON,0.17524759080858107,1980,0.09593592136582264,0.16676830463860026
734,PMQs,1987-10-27,CON,0.17387727768983127,1980,0.0991034118699429,0.16227269858246318
735,PMQs,1987-10-29,CON,0.17531827084050158,1980,0.10369184674985009,0.16499689916915813
736,PMQs,1987-11-03,CON,0.1754528485660945,1980,0.0918734552880877,0.1643200799134187
737,PMQs,1987-11-05,CON,0.17527418043311457,1980,0.09114299546759769,0.16296601676726233
738,PMQs,1987-11-10,CON,0.17452906291497533,1980,0.09725256264964005,0.16775992102199008
739,PMQs,1987-11-12,CON,0.17546573096123957,1980,0.08220090189063499,0.1632430895104442
740,PMQs,1987-11-17,CON,0.1752851243100848,1980,0.09863614811573887,0.1670187731175719
741,PMQs,1987-11-19,CON,0.17675314889908506,1980,0.10059932438129505,0.1656505530859667
742,PMQs,1987-11-24,CON,0.17471306009225332,1980,0.09368154565314193,0.16339301939037737
743,PMQs,1987-11-26,CON,0.1765237371493687,1980,0.09134999518873244,0.16631730330920058
744,PMQs,1987-12-01,CON,0.17639597623094916,1980,0.09235547287105526,0.16479407172628902
745,PMQs,1987-12-03,CON,0.1747249610915875,1980,0.0969744948976359,0.16573577551530408
746,PMQs,1987-12-08,CON,0.17583286872854137,1980,0.09883192049737004,0.16740862438273332
747,PMQs,1987-12-10,CON,0.1759817177280241,1980,0.102154959915213,0.164485903901919
748,PMQs,1987-12-15,CON,0.17592055536913095,1980,0.08712597859398671,0.16269156944572463
749,PMQs,1987-12-17,CON,0.17904053193368039,1980,0.08646972055528795,0.16347386057633287
750,PMQs,1988-01-12,CON,0.17534396321655762,1980,0.09618807055924487,0.16844767695968632
751,PMQs,1988-01-14,CON,0.17693820620937928,1980,0.0898189024300254,0.16216162148154986
752,PMQs,1988-01-19,CON,0.1765114053777921,1980,0.09336885058746501,0.16547933179070257
753,PMQs,1988-01-21,CON,0.17578504705140643,1980,0.10000715440722602,0.1654643679639107
754,PMQs,1988-01-26,CON,0.17633896194453283,1980,0.09888348804261159,0.1634016720310644
755,PMQs,1988-01-28,CON,0.17594770207957852,1980,0.09164442820589382,0.15780212122513726
756,PMQs,1988-02-02,CON,0.17470070881871666,1980,0.10660609593283671,0.15968869357844087
757,PMQs,1988-02-04,CON,0.17414512664381332,1980,0.09573020651755255,0.16209053210464053
758,PMQs,1988-02-09,CON,0.17636370376784213,1980,0.09589756106431471,0.16474322229319627
759,PMQs,1988-02-16,CON,0.17472785630848017,1980,0.10365059078884829,0.16508177874773797
760,PMQs,1988-02-18,CON,0.176316359474615,1980,0.09488044248043806,0.16222482666914737
761,PMQs,1988-02-23,CON,0.17475845563043196,1980,0.09591394033647302,0.16311033644218467
762,PMQs,1988-02-25,CON,0.17583323424865147,1980,0.10169990974375859,0.16761517322644834
763,PMQs,1988-03-01,CON,0.17651811670925097,1980,0.09751985022659529,0.16754342148424345
764,PMQs,1988-03-10,CON,0.1761070641172225,1980,0.0918427279111586,0.1676356176596597
765,PMQs,1988-03-15,CON,0.17538932605625743,1980,0.08749725421958326,0.16321916674574816
766,PMQs,1988-03-22,CON,0.17630257582925918,1980,0.09113436231588348,0.16646752063281117
767,PMQs,1988-03-24,CON,0.17434033320655912,1980,0.09829322772905068,0.16588830899312684
768,PMQs,1988-03-29,CON,0.17563559250157898,1980,0.09726815296768103,0.1645607097008937
769,PMQs,1988-03-31,CON,0.17670419684709998,1980,0.10068698733651009,0.16723613440890173
770,PMQs,1988-04-12,CON,0.1756702151961694,1980,0.10390824873653473,0.1666494545434392
771,PMQs,1988-04-14,CON,0.1758116411024126,1980,0.10682107535159312,0.16330837326104292
772,PMQs,1988-04-19,CON,0.17651140865270523,1980,0.09076830032960288,0.16206629897197444
773,PMQs,1988-04-21,CON,0.17660507417954058,1980,0.09910410369632276,0.16592112019211294
774,PMQs,1988-04-26,CON,0.1758324626333518,1980,0.09723899884744569,0.16735496655684742
775,PMQs,1988-04-28,CON,0.1745539095832786,1980,0.09389879665325336,0.16896002397115648
776,PMQs,1988-05-03,CON,0.17553875200182747,1980,0.0947921374042968,0.16374550728926737
777,PMQs,1988-05-05,CON,0.175876289830633,1980,0.10957843617115978,0.16395106366555495
778,PMQs,1988-05-24,CON,0.17727561868407013,1980,0.08654183173368463,0.16820525999716437
779,PMQs,1988-05-26,CON,0.1764603630168801,1980,0.09309845706308958,0.1667647529025729
780,PMQs,1988-06-07,CON,0.17604224658600767,1980,0.09569191937559123,0.16734627533585142
781,PMQs,1988-06-09,CON,0.17512911970456416,1980,0.09061582231076111,0.16408856936989763
782,PMQs,1988-06-14,CON,0.17505413912296916,1980,0.09476258171734107,0.16286748914681223
783,PMQs,1988-06-23,CON,0.17685819632623562,1980,0.10220213978445529,0.15842846328235324
784,PMQs,1988-06-30,CON,0.1762036121627164,1980,0.09532788766585369,0.1619141899559222
785,PMQs,1988-07-05,CON,0.1742940958183044,1980,0.09785785071446446,0.16510447313876978
786,PMQs,1988-07-07,CON,0.17702110681450012,1980,0.0991721190312746,0.16757896940840805
787,PMQs,1988-07-12,CON,0.1745642917952788,1980,0.1021661520240153,0.16597591805044243
788,PMQs,1988-07-14,CON,0.17475721879380793,1980,0.10062893690618607,0.16429778491861288
789,PMQs,1988-07-19,CON,0.17499631352609937,1980,0.1003019386831644,0.16872365673497486
790,PMQs,1988-07-21,CON,0.17556917356463303,1980,0.09757166801348284,0.16373105515073985
791,PMQs,1988-07-26,CON,0.17507269246093635,1980,0.10286128137968077,0.16611924722012095
792,PMQs,1988-07-28,CON,0.1761569532518311,1980,0.0996981376814972,0.1626355582761341
793,PMQs,1988-10-20,CON,0.17528918575782737,1980,0.0924601666037016,0.1645456897791544
794,PMQs,1988-10-25,CON,0.17436167032190567,1980,0.09869974529594033,0.16326539126325285
795,PMQs,1988-11-01,CON,0.17635137830313916,1980,0.09978873574638637,0.16328196169519676
796,PMQs,1988-11-08,CON,0.17502710946121502,1980,0.09920268720662952,0.16956912913835795
797,PMQs,1988-11-29,CON,0.17580778519056758,1980,0.09384706293793306,0.16966350020882712
798,PMQs,1988-12-01,CON,0.17575203470704612,1980,0.09754082418916614,0.16332592349505232
799,PMQs,1988-12-06,CON,0.17530700401702795,1980,0.086838427656458,0.16658231131653867
800,PMQs,1988-12-13,CON,0.1735249877256513,1980,0.09957976974418821,0.16394019924515263
801,PMQs,1988-12-15,CON,0.1772421614370413,1980,0.08756106024843027,0.16724182868037316
802,PMQs,1988-12-20,CON,0.17571814333247288,1980,0.09308200150259978,0.1674161160676946
803,PMQs,1989-01-10,CON,0.17328867283451482,1980,0.10850688574948474,0.1688424122700245
804,PMQs,1989-01-12,CON,0.1738831857327837,1980,0.10177663606368317,0.16727299959031502
805,PMQs,1989-01-17,CON,0.1743860700258456,1980,0.10205509964745008,0.1649583751533242
806,PMQs,1989-01-19,CON,0.1758292990606024,1980,0.08907604997826686,0.16439526084916017
807,PMQs,1989-01-24,CON,0.17478636569426778,1980,0.08760882002757886,0.16645826250757248
808,PMQs,1989-01-26,CON,0.17470875909481354,1980,0.08786472762472329,0.1651293627902795
809,PMQs,1989-01-31,CON,0.17418643135751521,1980,0.10640420176726718,0.1682035838948918
810,PMQs,1989-02-02,CON,0.17567028854310007,1980,0.11138978646962865,0.16527579283971977
811,PMQs,1989-02-07,CON,0.1753028816448766,1980,0.09344493450312066,0.16827045280682107
812,PMQs,1989-02-09,CON,0.17661247661675913,1980,0.0911390041499916,0.1665794279118066
813,PMQs,1989-02-14,CON,0.1751082278596372,1980,0.0979923872561542,0.16548109249864917
814,PMQs,1989-02-16,CON,0.17637851644016123,1980,0.0905816062125967,0.16549587093532123
815,PMQs,1989-02-23,CON,0.17477706036266227,1980,0.09426195745718477,0.16386297041944017
816,PMQs,1989-02-28,CON,0.17601470526937937,1980,0.10188238579407748,0.16258861924750972
817,PMQs,1989-03-02,CON,0.17691697300282694,1980,0.09140965861594663,0.1668297644027122
818,PMQs,1989-03-07,CON,0.17580556203292597,1980,0.08673833647716556,0.16316877702299237
819,PMQs,1989-03-09,CON,0.1755648300158304,1980,0.09991675594078589,0.16613762097881737
820,PMQs,1989-03-16,CON,0.1764236876966525,1980,0.08730502539903105,0.16680763397228762
821,PMQs,1989-03-21,CON,0.1756393294358637,1980,0.08829458495963727,0.16437022148315336
822,PMQs,1989-04-04,CON,0.1760668322693376,1980,0.08801882245568907,0.1653724212378874
823,PMQs,1989-04-11,CON,0.1750635789642501,1980,0.09888787080065195,0.16296247277614956
824,PMQs,1989-04-13,CON,0.17599717677220036,1980,0.10465282627577423,0.16420872710333653
825,PMQs,1989-04-20,CON,0.17536665825433373,1980,0.1085437826239607,0.1646680840330666
826,PMQs,1989-04-25,CON,0.175560612705054,1980,0.09630110127754399,0.16577449814206513
827,PMQs,1989-04-27,CON,0.17473534065112484,1980,0.10000686915213812,0.16276190827318435
828,PMQs,1989-05-02,CON,0.17494262423358656,1980,0.08819110664787966,0.16506150378734763
829,PMQs,1989-05-04,CON,0.1764379849640863,1980,0.09987039182835214,0.16944801426739609
830,PMQs,1989-05-09,CON,0.17586450675092558,1980,0.09651818854447984,0.1638095903077073
831,PMQs,1989-05-11,CON,0.17359681910557592,1980,0.09213575825273054,0.16564654438909218
